Country,Commodity,Year,Variable,Value,Region
Austria,apples,2015,Harvested area,6.62,Central Europe
Austria,apples,2016,Harvested area,6.67,Central Europe
Austria,apples,2017,Harvested area,6.67,Central Europe
Austria,apples,2018,Harvested area,6.74,Central Europe
Austria,apples,2019,Harvested area,6.59,Central Europe
Austria,apples,2020,Harvested area,6.43,Central Europe
Austria,apples,2021,Harvested area,6.35,Central Europe
Austria,apples,2022,Harvested area,6.3,Central Europe
Austria,apples,2023,Harvested area,6.25,Central Europe
Austria,barley,2015,Harvested area,151.76999999999998,Central Europe
Austria,barley,2016,Harvested area,140.42,Central Europe
Austria,barley,2017,Harvested area,138.89999999999998,Central Europe
Austria,barley,2018,Harvested area,139.26999999999998,Central Europe
Austria,barley,2019,Harvested area,137.24,Central Europe
Austria,barley,2020,Harvested area,134.79999999999998,Central Europe
Austria,barley,2021,Harvested area,123.62,Central Europe
Austria,barley,2022,Harvested area,122.54,Central Europe
Austria,barley,2023,Harvested area,122.71,Central Europe
Austria,barley,2024,Harvested area,124.44,Central Europe
Austria,oats,2015,Harvested area,23.5,Central Europe
Austria,oats,2016,Harvested area,22.51,Central Europe
Austria,oats,2017,Harvested area,23.25,Central Europe
Austria,oats,2018,Harvested area,21.45,Central Europe
Austria,oats,2019,Harvested area,20.6,Central Europe
Austria,oats,2020,Harvested area,20.14,Central Europe
Austria,oats,2021,Harvested area,24.36,Central Europe
Austria,oats,2022,Harvested area,20.28,Central Europe
Austria,oats,2023,Harvested area,17.62,Central Europe
Austria,oats,2024,Harvested area,17.36,Central Europe
Austria,soy,2015,Harvested area,56.9,Central Europe
Austria,soy,2016,Harvested area,49.79,Central Europe
Austria,soy,2017,Harvested area,64.47,Central Europe
Austria,soy,2018,Harvested area,67.62,Central Europe
Austria,soy,2019,Harvested area,69.21,Central Europe
Austria,soy,2020,Harvested area,68.5,Central Europe
Austria,soy,2021,Harvested area,76.74,Central Europe
Austria,soy,2022,Harvested area,93.73,Central Europe
Austria,soy,2023,Harvested area,88.45,Central Europe
Austria,soy,2024,Harvested area,89.31,Central Europe
Austria,sunflower,2015,Harvested area,19.06,Central Europe
Austria,sunflower,2016,Harvested area,18.19,Central Europe
Austria,sunflower,2017,Harvested area,22.02,Central Europe
Austria,sunflower,2018,Harvested area,21.5,Central Europe
Austria,sunflower,2019,Harvested area,21.25,Central Europe
Austria,sunflower,2020,Harvested area,23.48,Central Europe
Austria,sunflower,2021,Harvested area,24.68,Central Europe
Austria,sunflower,2022,Harvested area,24.29,Central Europe
Austria,sunflower,2023,Harvested area,24.07,Central Europe
Austria,sunflower,2024,Harvested area,22.47,Central Europe
Austria,wine,2015,Harvested area,47.25522,Central Europe
Austria,wine,2016,Harvested area,47.58296,Central Europe
Austria,wine,2017,Harvested area,48.28174,Central Europe
Austria,wine,2018,Harvested area,48.86272,Central Europe
Austria,wine,2019,Harvested area,48.84493,Central Europe
Austria,wine,2020,Harvested area,48.062,Central Europe
Austria,wine,2021,Harvested area,44.91256,Central Europe
Austria,wine,2022,Harvested area,44.53507,Central Europe
Austria,wine,2023,Harvested area,44.53507,Central Europe
Belgium,apples,2015,Harvested area,6.87,Western Europe
Belgium,apples,2016,Harvested area,6.49,Western Europe
Belgium,apples,2017,Harvested area,6.16,Western Europe
Belgium,apples,2018,Harvested area,5.99,Western Europe
Belgium,apples,2019,Harvested area,5.79,Western Europe
Belgium,apples,2020,Harvested area,5.48,Western Europe
Belgium,apples,2021,Harvested area,5.35,Western Europe
Belgium,apples,2022,Harvested area,5.23,Western Europe
Belgium,apples,2023,Harvested area,4.9,Western Europe
Belgium,barley,2015,Harvested area,48.38,Western Europe
Belgium,barley,2016,Harvested area,55.43000000000001,Western Europe
Belgium,barley,2017,Harvested area,45.28,Western Europe
Belgium,barley,2018,Harvested area,42.17,Western Europe
Belgium,barley,2019,Harvested area,46.75,Western Europe
